gdenergy,gdpuls,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,nbumps6,nbumps7,nbumps89,energy,maxenergy,class
-72,-72,0,0,0,0,0,0,0,0,0,0,0
-70,-79,1,0,1,0,0,0,0,0,2000,2000,0
-81,-78,0,0,0,0,0,0,0,0,0,0,0
-23,40,1,0,1,0,0,0,0,0,3000,3000,0
-63,-52,0,0,0,0,0,0,0,0,0,0,0
-73,-65,0,0,0,0,0,0,0,0,0,0,0
-6,18,2,2,0,0,0,0,0,0,1000,700,0
-27,-3,1,0,1,0,0,0,0,0,4000,4000,0
54,52,0,0,0,0,0,0,0,0,0,0,0
4,25,1,1,0,0,0,0,0,0,500,500,0
-39,-36,1,0,1,0,0,0,0,0,5000,5000,0
-19,-31,0,0,0,0,0,0,0,0,0,0,0
-30,-19,1,1,0,0,0,0,0,0,400,400,0
0,9,1,0,1,0,0,0,0,0,6000,6000,0
18,4,1,1,0,0,0,0,0,0,600,600,0
-3,5,2,0,2,0,0,0,0,0,7000,6000,0
-52,-41,0,0,0,0,0,0,0,0,0,0,0
-63,-58,0,0,0,0,0,0,0,0,0,0,0
-77,-67,0,0,0,0,0,0,0,0,0,0,0
-83,-77,0,0,0,0,0,0,0,0,0,0,0
-71,-79,0,0,0,0,0,0,0,0,0,0,0
-72,-47,1,0,1,0,0,0,0,0,4000,4000,0
-68,-43,0,0,0,0,0,0,0,0,0,0,0
49,52,0,0,0,0,0,0,0,0,0,0,0
1,7,2,0,2,0,0,0,0,0,6000,4000,0
-82,-57,1,0,1,0,0,0,0,0,4000,4000,0
-70,-58,0,0,0,0,0,0,0,0,0,0,0
-50,-28,2,1,1,0,0,0,0,0,1400,1000,0
-76,-61,1,0,1,0,0,0,0,0,6000,6000,0
-57,-55,1,1,0,0,0,0,0,0,600,600,0
46,40,3,0,3,0,0,0,0,0,6000,2000,0
11,23,1,0,1,0,0,0,0,0,6000,6000,0
-46,-52,1,0,1,0,0,0,0,0,2000,2000,0
86,60,3,3,0,0,0,0,0,0,1500,600,0
54,28,1,0,1,0,0,0,0,0,6000,6000,0
-54,-53,1,1,0,0,0,0,0,0,700,700,1
95,94,7,4,2,1,0,0,0,0,15700,10000,0
41,30,0,0,0,0,0,0,0,0,0,0,0
-45,-45,0,0,0,0,0,0,0,0,0,0,0
-53,-45,0,0,0,0,0,0,0,0,0,0,0
-65,-59,0,0,0,0,0,0,0,0,0,0,0
-80,-75,0,0,0,0,0,0,0,0,0,0,0
-51,-62,1,0,1,0,0,0,0,0,5000,5000,0
-59,-48,0,0,0,0,0,0,0,0,0,0,0
-64,-66,2,1,1,0,0,0,0,0,2700,2000,0
-8,-5,0,0,0,0,0,0,0,0,0,0,0
12,40,1,0,1,0,0,0,0,0,5000,5000,0
86,35,1,1,0,0,0,0,0,0,500,500,0
15,38,2,1,1,0,0,0,0,0,1800,1000,0
65,85,1,0,1,0,0,0,0,0,6000,6000,0
93,50,1,1,0,0,0,0,0,0,300,300,0
-9,0,1,1,0,0,0,0,0,0,400,400,0
51,34,1,0,1,0,0,0,0,0,7000,7000,0
24,-4,0,0,0,0,0,0,0,0,0,0,0
56,29,0,0,0,0,0,0,0,0,0,0,0
-57,-43,1,0,1,0,0,0,0,0,4000,4000,0
15,-18,0,0,0,0,0,0,0,0,0,0,0
-1,4,2,2,0,0,0,0,0,0,800,400,0
-21,0,1,0,1,0,0,0,0,0,4000,4000,0
37,32,3,3,0,0,0,0,0,0,1400,700,0
-10,13,0,0,0,0,0,0,0,0,0,0,0
-36,-23,0,0,0,0,0,0,0,0,0,0,0
-32,-30,0,0,0,0,0,0,0,0,0,0,0
6,-16,1,0,1,0,0,0,0,0,5000,5000,0
-57,-48,0,0,0,0,0,0,0,0,0,0,0
-2,-6,0,0,0,0,0,0,0,0,0,0,0
-33,-41,2,1,1,0,0,0,0,0,4300,4000,0
-11,46,1,1,0,0,0,0,0,0,900,900,0
-71,-59,1,0,1,0,0,0,0,0,5000,5000,0
-54,-61,0,0,0,0,0,0,0,0,0,0,0
23,-6,1,1,0,0,0,0,0,0,800,800,0
-38,-27,1,0,1,0,0,0,0,0,6000,6000,0
25,7,0,0,0,0,0,0,0,0,0,0,0
-36,-44,0,0,0,0,0,0,0,0,0,0,0
-52,-59,2,1,1,0,0,0,0,0,4300,4000,0
60,92,0,0,0,0,0,0,0,0,0,0,0
-44,-35,1,0,1,0,0,0,0,0,5000,5000,0
-57,-29,0,0,0,0,0,0,0,0,0,0,0
-16,9,2,2,0,0,0,0,0,0,600,300,0
-16,15,1,0,1,0,0,0,0,0,6000,6000,0
23,6,0,0,0,0,0,0,0,0,0,0,0
8,27,0,0,0,0,0,0,0,0,0,0,0
-32,-2,1,0,1,0,0,0,0,0,4000,4000,0
-53,-45,0,0,0,0,0,0,0,0,0,0,0
87,70,0,0,0,0,0,0,0,0,0,0,0
-31,-24,0,0,0,0,0,0,0,0,0,0,0
-54,-35,1,0,1,0,0,0,0,0,6000,6000,0
15,35,0,0,0,0,0,0,0,0,0,0,0
-35,-32,0,0,0,0,0,0,0,0,0,0,0
15,35,0,0,0,0,0,0,0,0,0,0,0
-35,-32,0,0,0,0,0,0,0,0,0,0,0
-18,6,1,0,1,0,0,0,0,0,5000,5000,0
91,29,0,0,0,0,0,0,0,0,0,0,0
1,-19,0,0,0,0,0,0,0,0,0,0,0
-55,-60,0,0,0,0,0,0,0,0,0,0,0
-54,-53,1,0,1,0,0,0,0,0,6000,6000,0
9,-2,0,0,0,0,0,0,0,0,0,0,0
-26,-5,1,0,1,0,0,0,0,0,5000,5000,0
1,-28,0,0,0,0,0,0,0,0,0,0,0
-35,-41,0,0,0,0,0,0,0,0,0,0,0
-54,-35,1,0,1,0,0,0,0,0,4000,4000,0
10,-14,2,2,0,0,0,0,0,0,800,500,0
-21,-43,0,0,0,0,0,0,0,0,0,0,0
-57,-70,0,0,0,0,0,0,0,0,0,0,0
-71,-76,0,0,0,0,0,0,0,0,0,0,0
-51,-51,1,0,1,0,0,0,0,0,4000,4000,0
-65,-64,0,0,0,0,0,0,0,0,0,0,0
-34,-56,0,0,0,0,0,0,0,0,0,0,0
15,34,0,0,0,0,0,0,0,0,0,0,0
100,89,1,0,1,0,0,0,0,0,5000,5000,0
2,0,0,0,0,0,0,0,0,0,0,0,0
-41,-16,0,0,0,0,0,0,0,0,0,0,0
61,61,1,0,1,0,0,0,0,0,3000,3000,0
51,0,1,1,0,0,0,0,0,0,200,200,0
-40,-46,0,0,0,0,0,0,0,0,0,0,0
28,9,1,0,1,0,0,0,0,0,3000,3000,0
-31,-35,0,0,0,0,0,0,0,0,0,0,0
50,67,1,0,1,0,0,0,0,0,3000,3000,0
37,37,0,0,0,0,0,0,0,0,0,0,0
-7,-12,1,0,1,0,0,0,0,0,4000,4000,0
-32,-34,1,0,1,0,0,0,0,0,4000,4000,0
-55,-65,0,0,0,0,0,0,0,0,0,0,0
98,-7,0,0,0,0,0,0,0,0,0,0,0
-14,-32,1,0,1,0,0,0,0,0,3000,3000,0
36,36,1,1,0,0,0,0,0,0,300,300,0
-31,23,0,0,0,0,0,0,0,0,0,0,0
-52,-50,1,0,1,0,0,0,0,0,4000,4000,0
-32,-14,1,0,1,0,0,0,0,0,2000,2000,0
-10,17,0,0,0,0,0,0,0,0,0,0,0
17,23,0,0,0,0,0,0,0,0,0,0,0
-34,4,1,0,1,0,0,0,0,0,4000,4000,0
94,39,1,0,1,0,0,0,0,0,3000,3000,0
2,11,0,0,0,0,0,0,0,0,0,0,0
-58,-49,1,0,1,0,0,0,0,0,4000,4000,0
83,78,0,0,0,0,0,0,0,0,0,0,0
-44,-32,0,0,0,0,0,0,0,0,0,0,0
-68,-57,1,0,1,0,0,0,0,0,3000,3000,0
-41,-37,0,0,0,0,0,0,0,0,0,0,0
-28,-4,1,0,1,0,0,0,0,0,2000,2000,0
-23,0,2,0,2,0,0,0,0,0,8000,5000,0
-37,-21,3,1,2,0,0,0,0,0,2700,1000,0
46,89,0,0,0,0,0,0,0,0,0,0,0
-69,-63,1,0,1,0,0,0,0,0,5000,5000,0
-26,-9,0,0,0,0,0,0,0,0,0,0,0
-65,-47,1,0,1,0,0,0,0,0,3000,3000,0
-10,-13,1,0,1,0,0,0,0,0,6000,6000,0
-30,-24,0,0,0,0,0,0,0,0,0,0,0
-41,-35,2,0,2,0,0,0,0,0,4000,3000,0
-70,-51,0,0,0,0,0,0,0,0,0,0,0
-26,-21,0,0,0,0,0,0,0,0,0,0,0
-31,-18,1,1,0,0,0,0,0,0,900,900,0
-35,-33,1,0,1,0,0,0,0,0,5000,5000,0
30,17,1,1,0,0,0,0,0,0,900,900,0
20,10,0,0,0,0,0,0,0,0,0,0,0
-61,-53,1,0,1,0,0,0,0,0,4000,4000,0
-1,-1,0,0,0,0,0,0,0,0,0,0,0
-70,-64,0,0,0,0,0,0,0,0,0,0,0
-82,-75,1,0,1,0,0,0,0,0,3000,3000,0
31,21,0,0,0,0,0,0,0,0,0,0,0
-13,-4,2,2,0,0,0,0,0,0,900,600,1
-73,-74,1,0,0,1,0,0,0,0,10000,10000,1
20,20,2,1,0,1,0,0,0,0,20600,20000,0
-16,-12,2,1,1,0,0,0,0,0,2400,2000,0
-33,-4,1,0,1,0,0,0,0,0,3000,3000,0
37,39,3,1,2,0,0,0,0,0,3900,2000,0
-25,-23,1,0,1,0,0,0,0,0,5000,5000,0
31,29,2,1,1,0,0,0,0,0,3700,3000,0
74,79,0,0,0,0,0,0,0,0,0,0,0
-17,30,2,0,2,0,0,0,0,0,5000,4000,0
-32,-28,1,0,1,0,0,0,0,0,7000,7000,0
-14,-6,0,0,0,0,0,0,0,0,0,0,0
-11,-14,3,0,3,0,0,0,0,0,8000,4000,0
-76,-58,0,0,0,0,0,0,0,0,0,0,0
-8,14,2,2,0,0,0,0,0,0,700,500,0
-17,6,1,1,0,0,0,0,0,0,800,800,0
4,6,3,1,2,0,0,0,0,0,9700,6000,1
5,-4,2,0,1,1,0,0,0,0,13000,10000,0
6,33,0,0,0,0,0,0,0,0,0,0,0
-81,-65,1,0,1,0,0,0,0,0,4000,4000,0
24,17,2,1,1,0,0,0,0,0,2600,2000,0
30,50,0,0,0,0,0,0,0,0,0,0,0
-42,-33,3,0,3,0,0,0,0,0,6000,3000,0
25,37,0,0,0,0,0,0,0,0,0,0,0
-40,-32,0,0,0,0,0,0,0,0,0,0,0
-75,-67,0,0,0,0,0,0,0,0,0,0,0
-75,-73,0,0,0,0,0,0,0,0,0,0,0
-57,-45,1,0,1,0,0,0,0,0,2000,2000,0
69,63,0,0,0,0,0,0,0,0,0,0,0
36,44,0,0,0,0,0,0,0,0,0,0,0
5,36,0,0,0,0,0,0,0,0,0,0,0
-26,-19,4,3,1,0,0,0,0,0,4200,3000,0
58,90,1,1,0,0,0,0,0,0,300,300,0
-12,5,2,2,0,0,0,0,0,0,1100,600,0
-58,-42,2,0,2,0,0,0,0,0,5000,3000,0
8,24,1,1,0,0,0,0,0,0,300,300,0
-32,-14,0,0,0,0,0,0,0,0,0,0,0
-2,-18,2,0,2,0,0,0,0,0,6000,4000,0
86,88,3,2,1,0,0,0,0,0,6200,5000,0
-24,-22,1,1,0,0,0,0,0,0,900,900,0
9,-17,2,0,2,0,0,0,0,0,6000,3000,0
91,63,1,1,0,0,0,0,0,0,300,300,0
11,0,0,0,0,0,0,0,0,0,0,0,0
33,-6,1,0,1,0,0,0,0,0,2000,2000,1
161,91,2,1,0,1,0,0,0,0,20600,20000,0
55,38,3,1,2,0,0,0,0,0,6500,4000,0
-14,-19,0,0,0,0,0,0,0,0,0,0,0
78,57,0,0,0,0,0,0,0,0,0,0,0
-11,14,1,0,1,0,0,0,0,0,3000,3000,0
-19,-12,0,0,0,0,0,0,0,0,0,0,0
-3,-12,3,2,1,0,0,0,0,0,5200,4000,0
23,1,0,0,0,0,0,0,0,0,0,0,0
-32,-32,1,0,1,0,0,0,0,0,3000,3000,0
55,46,1,1,0,0,0,0,0,0,800,800,0
-12,-5,1,1,0,0,0,0,0,0,600,600,0
-27,-27,2,1,1,0,0,0,0,0,5200,5000,0
62,51,3,1,2,0,0,0,0,0,8500,4000,0
-20,-20,2,0,2,0,0,0,0,0,11000,9000,0
-36,-34,2,0,2,0,0,0,0,0,5000,3000,0
32,18,0,0,0,0,0,0,0,0,0,0,1
21,36,1,0,0,1,0,0,0,0,50000,50000,0
32,66,1,0,1,0,0,0,0,0,3000,3000,0
-7,-12,0,0,0,0,0,0,0,0,0,0,0
81,66,0,0,0,0,0,0,0,0,0,0,0
35,57,4,2,2,0,0,0,0,0,5100,2000,0
-15,5,1,0,1,0,0,0,0,0,1000,1000,0
1,1,0,0,0,0,0,0,0,0,0,0,0
-33,-31,0,0,0,0,0,0,0,0,0,0,0
-39,-44,0,0,0,0,0,0,0,0,0,0,0
-34,-27,1,0,1,0,0,0,0,0,3000,3000,0
-17,16,0,0,0,0,0,0,0,0,0,0,0
27,26,2,0,2,0,0,0,0,0,4000,3000,0
15,-4,0,0,0,0,0,0,0,0,0,0,0
-37,-58,2,1,1,0,0,0,0,0,2300,2000,0
51,12,0,0,0,0,0,0,0,0,0,0,0
52,18,2,0,2,0,0,0,0,0,5000,3000,0
-61,-57,1,0,1,0,0,0,0,0,6000,6000,0
24,2,1,0,1,0,0,0,0,0,3000,3000,0
-33,-9,1,0,1,0,0,0,0,0,5000,5000,0
-3,0,1,0,1,0,0,0,0,0,3000,3000,1
17,9,2,1,0,1,0,0,0,0,40600,40000,0
1,-5,2,0,2,0,0,0,0,0,7000,5000,0
-54,-48,1,1,0,0,0,0,0,0,200,200,0
52,32,1,0,1,0,0,0,0,0,9000,9000,0
13,9,2,1,1,0,0,0,0,0,4200,4000,0
-7,-14,0,0,0,0,0,0,0,0,0,0,0
21,15,3,2,1,0,0,0,0,0,5700,5000,0
7,-2,1,0,1,0,0,0,0,0,3000,3000,0
-23,-30,2,1,1,0,0,0,0,0,1400,1000,0
-23,4,1,1,0,0,0,0,0,0,300,300,0
-46,-43,1,0,1,0,0,0,0,0,3000,3000,0
28,12,3,2,1,0,0,0,0,0,1900,1000,1
47,41,1,0,0,1,0,0,0,0,40000,40000,0
13,5,0,0,0,0,0,0,0,0,0,0,0
-14,34,5,3,2,0,0,0,0,0,7000,3000,1
0,90,4,2,1,1,0,0,0,0,25400,20000,0
-39,27,2,1,1,0,0,0,0,0,1700,1000,0
-54,-1,2,1,1,0,0,0,0,0,2200,2000,1
-29,44,3,0,2,1,0,0,0,0,49000,40000,0
-50,-2,1,0,1,0,0,0,0,0,4000,4000,1
-51,-14,3,0,2,1,0,0,0,0,25000,20000,0
3,33,0,0,0,0,0,0,0,0,0,0,0
-29,1,2,1,1,0,0,0,0,0,4800,4000,0
-45,-15,2,1,1,0,0,0,0,0,2300,2000,1
-42,13,2,0,1,1,0,0,0,0,34000,30000,0
-44,-5,1,0,1,0,0,0,0,0,4000,4000,0
-33,-2,3,0,3,0,0,0,0,0,14000,8000,0
-1,54,1,1,0,0,0,0,0,0,800,800,1
-29,-1,5,1,3,1,0,0,0,0,31500,20000,0
-23,-9,1,0,1,0,0,0,0,0,8000,8000,0
35,38,2,1,1,0,0,0,0,0,5600,5000,0
-68,-46,1,0,1,0,0,0,0,0,2000,2000,0
12,-14,4,1,3,0,0,0,0,0,5300,2000,0
45,28,2,2,0,0,0,0,0,0,900,700,0
-5,-11,2,2,0,0,0,0,0,0,900,700,1
-35,-22,3,0,2,1,0,0,0,0,70000,60000,1
-21,-2,6,3,2,1,0,0,0,0,18000,10000,0
-49,-41,0,0,0,0,0,0,0,0,0,0,0
15,-22,6,3,3,0,0,0,0,0,21300,8000,1
64,-6,4,1,2,1,0,0,0,0,14600,10000,0
55,19,4,0,4,0,0,0,0,0,19000,9000,1
0,-18,4,0,3,1,0,0,0,0,44000,30000,0
30,15,2,1,1,0,0,0,0,0,3200,3000,1
37,18,4,0,2,2,0,0,0,0,54000,30000,0
-30,-28,6,2,4,0,0,0,0,0,12700,4000,1
47,28,7,4,2,1,0,0,0,0,36500,30000,1
-16,-7,4,2,1,1,0,0,0,0,32700,30000,1
-34,-31,3,0,1,2,0,0,0,0,64000,30000,0
22,32,4,2,2,0,0,0,0,0,11000,6000,0
-47,-42,1,0,1,0,0,0,0,0,1000,1000,0
-70,-65,0,0,0,0,0,0,0,0,0,0,0
-73,-74,0,0,0,0,0,0,0,0,0,0,0
-38,-40,0,0,0,0,0,0,0,0,0,0,0
-48,-48,0,0,0,0,0,0,0,0,0,0,0
-27,-38,1,0,1,0,0,0,0,0,3000,3000,0
-31,-39,1,0,1,0,0,0,0,0,4000,4000,0
-37,-33,2,1,1,0,0,0,0,0,8400,8000,1
49,56,3,1,0,2,0,0,0,0,70800,40000,1
-13,-2,4,2,1,1,0,0,0,0,32800,30000,0
-17,-7,2,0,2,0,0,0,0,0,11000,7000,0
18,17,3,2,1,0,0,0,0,0,6100,5000,1
-42,-30,1,0,0,1,0,0,0,0,30000,30000,0
-37,-26,1,0,1,0,0,0,0,0,7000,7000,1
7,6,4,1,1,2,0,0,0,0,63800,40000,0
6,17,3,1,2,0,0,0,0,0,8400,7000,1
-40,-24,4,1,2,1,0,0,0,0,30900,20000,1
-32,-31,3,2,0,1,0,0,0,0,91700,90000,1
-21,-11,1,0,0,1,0,0,0,0,40000,40000,0
67,62,1,0,1,0,0,0,0,0,6000,6000,0
5,8,3,2,1,0,0,0,0,0,5800,5000,1
2,-4,2,0,1,1,0,0,0,0,74000,70000,0
-48,-39,0,0,0,0,0,0,0,0,0,0,0
-65,-61,1,0,1,0,0,0,0,0,3000,3000,0
-48,-52,1,0,1,0,0,0,0,0,3000,3000,0
-4,-8,1,1,0,0,0,0,0,0,300,300,0
-2,-20,0,0,0,0,0,0,0,0,0,0,0
-38,-60,2,0,2,0,0,0,0,0,9000,6000,1
-46,-61,1,0,0,1,0,0,0,0,30000,30000,0
-21,-40,1,0,1,0,0,0,0,0,3000,3000,0
-11,-11,2,1,1,0,0,0,0,0,3200,3000,1
-24,-26,1,0,0,1,0,0,0,0,70000,70000,0
38,41,1,0,1,0,0,0,0,0,3000,3000,0
-33,-29,0,0,0,0,0,0,0,0,0,0,0
-38,-19,2,1,1,0,0,0,0,0,3700,3000,1
-2,8,3,1,1,1,0,0,0,0,35900,30000,1
16,10,2,1,0,1,0,0,0,0,40700,40000,0
-2,2,3,2,1,0,0,0,0,0,5200,4000,0
87,85,4,0,4,0,0,0,0,0,18000,8000,0
92,97,2,1,1,0,0,0,0,0,8700,8000,1
-38,2,2,0,1,1,0,0,0,0,54000,50000,0
27,38,1,0,1,0,0,0,0,0,2000,2000,1
-28,-22,2,0,1,1,0,0,0,0,31000,30000,0
-79,-70,0,0,0,0,0,0,0,0,0,0,0
-82,-76,1,0,1,0,0,0,0,0,2000,2000,0
-73,-57,1,0,1,0,0,0,0,0,4000,4000,0
-41,-35,1,1,0,0,0,0,0,0,400,400,1
39,41,2,0,1,1,0,0,0,0,25000,20000,0
-33,-16,1,0,1,0,0,0,0,0,1000,1000,1
-43,-50,2,0,1,1,0,0,0,0,73000,70000,0
-11,-31,4,4,0,0,0,0,0,0,1800,700,0
-30,-45,2,2,0,0,0,0,0,0,700,400,1
-8,-14,4,2,1,1,0,0,0,0,27100,20000,1
54,35,2,1,0,1,0,0,0,0,20600,20000,1
7,-7,3,2,0,1,0,0,0,0,20700,20000,0
-7,1,2,1,1,0,0,0,0,0,4200,4000,1
11,12,3,2,0,1,0,0,0,0,51200,50000,0
92,37,2,1,1,0,0,0,0,0,1200,1000,0
-38,-62,3,1,2,0,0,0,0,0,14400,9000,0
-1,-47,4,3,1,0,0,0,0,0,4300,3000,0
-74,-70,0,0,0,0,0,0,0,0,0,0,1
-21,-45,2,0,0,2,0,0,0,0,40000,20000,0
128,144,5,3,2,0,0,0,0,0,6200,2000,1
28,29,3,1,1,1,0,0,0,0,34400,30000,1
-29,-48,3,1,1,1,0,0,0,0,31300,30000,0
11,-22,2,2,0,0,0,0,0,0,900,500,1
-41,-47,1,0,0,1,0,0,0,0,40000,40000,0
-36,-58,1,1,0,0,0,0,0,0,400,400,0
7,-23,2,1,1,0,0,0,0,0,6500,6000,1
-1,-29,4,1,1,2,0,0,0,0,53600,30000,0
-53,-45,0,0,0,0,0,0,0,0,0,0,0
-34,-31,0,0,0,0,0,0,0,0,0,0,0
-31,-32,1,0,1,0,0,0,0,0,4000,4000,0
-4,-19,2,0,2,0,0,0,0,0,4000,2000,0
-9,-10,5,2,3,0,0,0,0,0,9700,5000,0
-3,-7,1,1,0,0,0,0,0,0,100,100,1
65,24,1,0,0,1,0,0,0,0,20000,20000,0
-88,-79,1,1,0,0,0,0,0,0,400,400,0
-94,-85,0,0,0,0,0,0,0,0,0,0,0
-95,-87,0,0,0,0,0,0,0,0,0,0,0
-85,-86,1,0,1,0,0,0,0,0,1000,1000,0
-95,-87,0,0,0,0,0,0,0,0,0,0,0
-92,-85,0,0,0,0,0,0,0,0,0,0,0
-93,-82,0,0,0,0,0,0,0,0,0,0,0
-89,-82,0,0,0,0,0,0,0,0,0,0,0
-88,-79,0,0,0,0,0,0,0,0,0,0,0
-78,-73,0,0,0,0,0,0,0,0,0,0,0
-91,-91,1,0,1,0,0,0,0,0,3000,3000,0
-89,-87,3,2,1,0,0,0,0,0,9600,8000,1
-79,-73,3,2,0,1,0,0,0,0,21000,20000,0
-78,-69,3,2,1,0,0,0,0,0,5900,5000,1
15,24,4,1,2,1,0,0,0,0,27600,10000,0
-50,-45,6,1,5,0,0,0,0,0,17900,7000,1
-70,-60,4,1,2,1,0,0,0,0,41200,30000,0
-78,-74,2,1,1,0,0,0,0,0,2800,2000,0
-58,-52,3,2,1,0,0,0,0,0,6900,6000,1
-58,-58,4,2,1,1,0,0,0,0,44200,40000,0
-61,-49,4,1,3,0,0,0,0,0,12700,9000,1
-25,-33,7,2,3,2,0,0,0,0,67700,30000,0
-42,-35,3,1,2,0,0,0,0,0,7500,5000,0
-47,-41,5,1,4,0,0,0,0,0,9500,4000,0
10,21,6,4,2,0,0,0,0,0,9200,6000,1
54,56,5,2,2,1,0,0,0,0,36200,30000,0
8,9,3,2,1,0,0,0,0,0,3600,3000,1
61,78,9,1,7,1,0,0,0,0,49800,30000,0
-37,-19,2,1,1,0,0,0,0,0,1600,1000,0
-81,-67,1,0,1,0,0,0,0,0,3000,3000,0
-87,-84,0,0,0,0,0,0,0,0,0,0,0
-87,-82,1,0,1,0,0,0,0,0,3000,3000,0
-32,-19,3,1,2,0,0,0,0,0,14600,9000,1
7,24,4,2,1,1,0,0,0,0,44400,40000,0
-12,-7,5,3,2,0,0,0,0,0,6000,3000,0
-2,6,2,1,1,0,0,0,0,0,3200,3000,1
-26,-32,3,1,1,1,0,0,0,0,38600,30000,0
-14,-31,3,1,2,0,0,0,0,0,9400,6000,0
-6,0,3,1,2,0,0,0,0,0,11500,8000,1
71,94,5,2,2,1,0,0,0,0,34400,20000,1
-32,-6,2,0,1,1,0,0,0,0,22000,20000,0
